tit,keywords,category1
Transfer learning of Bayesian network for measuring QoS of virtual machines,"['Virtual machine', 'Quality of service', 'QoS measurement', 'Bayesian network', 'Transfer learning']",computer science
A new one-dimensional cosine polynomial chaotic map and its use in image encryption,"['Image encryption', 'One-dimensional chaotic map', 'Chaos theory', 'Secure real-time communication', 'Cryptography']",computer science
On generalization in moment-based domain adaptation,"['Transfer learning', 'Domain adaptation', 'Moment distance', 'Learning theory', 'Classification', 'Total variation distance', 'Probability metric']",computer science
Automatic question-answer pairs generation and question similarity mechanism in question answering system,"['Question answering', 'Question generation', 'Question similarity', 'Universal sentence encoder', 'Question comprehension']",computer science
On the classification of binary self-dual codes admitting imprimitive rank 3 permutation groups,"['Imprimitive rank 3 groups', 'Binary self-dual codes', 'Automorphism groups']",computer science
A survey on different dimensions for graphical keyword extraction techniques,"['Keyword extraction', 'Graph of words', 'Language networks', 'Word co-occurrence networks']",computer science
Artificial intelligence and institutional critique 2.0: unexpected ways of seeing with computer vision,"['Institutional critique', 'Computer vision', 'Error', 'Image analysis', 'Contemporary art']",computer science
A behavioral task for exploring dynamics of communication system in dilemma situations,"['Experimental semiotics', 'Machiavellian intelligence', 'Dilemma game', 'Communication system']",computer science
Residual Dual Scale Scene Text Spotting by Fusing Bottom-Up and Top-Down Processing,"['Scene text spotting', 'Arbitrary shapes', 'Bottom-up', 'Top-down', 'Residual dual scale']",computer science
Dynamic clustering for short text stream based on Dirichlet process,"['Short text stream', 'Dirichlet process', 'Dynamic clustering', 'Topic drift']",computer science
Mental arithmetic task load recognition using EEG signal and Bayesian optimized K-nearest neighbor,"['Cognitive task', 'EEG', 'Stationary wavelet transformation', 'Bayesian optimized K-nearest neighbor']",computer science
Nonlinear system modeling and application based on restricted Boltzmann machine and improved BP neural network,"['BP neural network', 'Sensitivity analysis', 'Mutual information', 'Restricted boltzmann machine', 'Nonlinear system modeling']",computer science
Fast reconfiguration of robot swarms with uniform control signals,"['Robot motion planning', 'Global control', 'Tilt model', 'External forces', 'Reconfiguration']",computer science
On parameterized toric codes,"['Evaluation code', 'Toric variety', 'Multigraded Hilbert function', 'Vanishing ideal', 'Parameterized code', 'Lattice ideal']",computer science
Spatial role labelling in Arabic using probabilistic classifiers,"['Arabic', 'Spatial features', 'Trajector', 'Landmark', 'Annotation', 'Spatial role labelling', 'Probabilistic classifier', 'SVM']",computer science
Array P systems and pure 2D context-free grammars with independent mode of rewriting,"['Two dimensional languages', 'Pure context-free grammars', 'P systems']",computer science
Formally self-dual LCD codes from two-class association schemes,"['LCD code', 'Association scheme', 'Strongly regular graph', 'Doubly regular tournament', 'Formally self-dual code']",computer science
