tit,keywords,category1
Feature selection for semi-supervised multi-target regression using genetic algorithm,"['Multi-target learning', 'Feature selection', 'Regression', 'Semi-supervised learning', 'Genetic algorithm']",computer science
3D target detection using dual domain attention and SIFT operator in indoor scenes,"['Object detection', '3D point cloud', 'SIFT', 'Attention mechanism']",computer science
A conditional classification recurrent RBM for improved series mid-term forecasting,"['Mid-term forecasting', 'Recurrent neural network', 'Classification consistency determination', 'Restricted Boltzmann machine']",computer science
Improving Ocean Data Services with Semantics and Quick Index,"['data service', 'ocean data', 'ontology', 'semantic representation']",computer science
Intelligent system for COVID-19 prognosis: a state-of-the-art survey,"['COVID-19', 'Machine learning', 'Deep learning', 'Mathematical model', 'Intelligent system']",computer science
A SHADE-based multimodal multi-objective evolutionary algorithm with fitness sharing,"['Multimodal multi-objective optimization problems', 'Equivalent Pareto optimal solutions', 'SHADE, Parameter adaptation', 'Fitness sharing']",computer science
The relationship between curvilinear structure enhancement and ridge detection methods,"['Curvilinear structures', 'Ridge detection', 'Curvilinear enhancement', 'Skeletonisation', 'Object detection', 'Image analysis']",computer science
Label flipping attacks against Naive Bayes on spam filtering systems,"['Spam classification', 'Label flipping attacks', 'Naive Bayes classifier', 'Performance evaluation']",computer science
Adaptive inverse multilayer fuzzy control for uncertain nonlinear system optimizing with differential evolution algorithm,"['Adaptive inverse multilayer T-S fuzzy controller (AIMFC)', 'Uncertain nonlinear system', 'Hybrid adaptive optimal control', 'Differential evolution (DE) algorithm', 'Lyapunov stability principle', 'Spring-mass-damper (SMD) benchmark system', 'Coupled-liquid tank system']",computer science
Moral difference between humans and robots: paternalism and human-relative reason,"['Robot ethics', 'Moral robots', 'Artificial moral agency', 'Paternalism', 'Participant reactive attitude', 'Meddling blame']",computer science
RemNet: remnant convolutional neural network for camera model identification,"['Digital image forensics', 'Camera model identification', 'Convolutional neural networks', 'Remnant block']",computer science
Vision-based positioning system for auto-docking of unmanned surface vehicles (USVs),"['Autonomous docking', 'Vision-based navigation', 'Fiducial markers', 'Convolutional neural network', 'Object detection', 'Computer vision']",computer science
Universality of spiking neural P systems with polarizations working in sequential mode induced by maximum spike number,"['Bio-inspired computing', 'Membrane computing', 'Spiking neural P system', 'Sequentiality', 'Universality']",computer science
Clinical effectiveness of virtual reality versus conventional clinic-based vestibular physical therapy on balance and function in active duty service members. A pilot randomized controlled trial,"['Therapeutics', 'Data display', 'Craniocerebral trauma', 'Physical therapy modalities', 'Sensation disorders']",computer science
Primitive-contrastive network: data-efficient self-supervised learning from robot demonstration videos,"['Representation learning', 'Self-supervised learning', 'Imitation learning', 'Behavior cloning']",computer science
A weighted K-member clustering algorithm for K-anonymization,"['K-anonymity', 'Privacy preserving data publishing', 'Information loss', 'Clustering', 'Outliers', '68P27']",computer science
Personal identifiable information privacy model for securing of users attributes transmitted to a federated cloud environment,"['Information security', 'Cyber security', 'PII privacy model', 'Communication', 'DCTM3 steganography', 'Chi-square attack']",computer science
Mining emotion-aware sequential rules at user-level from micro-blogs,"['Pattern mining', 'Sequential rules', 'Emotion analysis', 'Social media analysis']",computer science
Contextualizing AI Education for K-12 Students to Enhance Their Learning of AI Literacy Through Culturally Responsive Approaches,"['Contextualization', 'AI literacy', 'Culturally responsive pedagogy', 'K-12 AI education', 'Cultural context']",computer science
Optimal location and capacity of DG systems in distribution network using genetic algorithm,"['Distributed generator DGCPower Loss Reduction Index (PLRI)', 'Voltage Deviation Index (VDI) and Multi Objective Ranking Index (MORI)', 'Genetic algorithm (GA)']",computer science
Apportioned margin approach for cost sensitive large margin classifiers,"['Multi-class classification', 'Asymmetric cost', 'Linear classifiers']",computer science
Decision making under measure-based granular uncertainty with intuitionistic fuzzy sets,"['Measure', 'Decision making', 'Granular uncertainty', 'Intuitionistic fuzzy sets', 'Applied intelligence']",computer science
BiTE: a dynamic bi-level traffic engineering model for load balancing and energy efficiency in data center networks,"['Data center network', 'Traffic engineering', 'Load balancing', 'Energy efficiency', 'Dynamic bi-level optimization', 'Co-evolutionary metaheuristic']",computer science
A framework for designing of genetic operators automatically based on gene expression programming and differential evolution,"['Evolutionary algorithm', 'Automatically designing', 'Self adaptive differential evolution algorithm', 'Gene expression programming']",computer science
360 degree view of cross-domain opinion classification: a survey,"['Opinion mining', 'Sentiment analysis', 'Cross-domain opinion classification', 'Domain adaptation', 'Transfer learning', 'Machine learning']",computer science
Stochastic local search for Partial Max-SAT: an experimental evaluation,"['Boolean satisfiability', 'Partial Max-SAT', 'Max-SAT', 'Stochastic local search', 'Incomplete solver', 'Max-SAT evaluation']",computer science
Radiative and magnetohydrodynamic micropolar hybrid nanofluid flow over a shrinking sheet with Joule heating and viscous dissipation effects,"['Heat transfer', 'Micropolar', 'Hybrid nanofluid', 'Shrinking sheet', 'MHD', 'Radiation', 'Viscous dissipation', 'Joule heating', 'Dual solutions']",computer science
Guided Attention in CNNs for Occluded Pedestrian Detection and Re-identification,"['Pedestrian detection', 'Pedestrian re-identification', 'CNNs', 'Attention']",computer science
Real power loss reduction by percheron optimization algorithm,"['Optimal reactive power', 'Transmission loss', 'Percheron']",computer science
Feature recognition of student using heuristic political effective evaluation reinforcement learning algorithm,"['Feature recognition', 'Student', 'Heuristic', 'Political', 'Effective', 'Evaluation', 'Reinforcement learning']",computer science
